product_id,brand,category,season,current_price,markdown_percentage,stock_quantity,customer_rating,is_returned,predicted_return_risk
FB000067,Ann Taylor,Accessories,Summer,55.57,0.0,44,3.8,0,0.3242
FB000068,Forever21,Tops,Spring,76.5,0.0,17,4.6,0,0.0893
FB000069,Forever21,Dresses,Spring,124.16,9.5,17,,0,0.1174
FB000070,Zara,Tops,Summer,39.23,19.8,17,2.6,0,0.1513
FB000071,Ann Taylor,Shoes,Winter,69.82,0.0,46,,1,0.2936
FB000072,Mango,Outerwear,Summer,184.64,7.4,49,,0,0.1377
FB000073,Banana Republic,Outerwear,Summer,99.5,55.2,21,4.5,0,0.2436
FB000074,Mango,Tops,Fall,112.86,0.0,8,2.9,0,0.0658
FB000075,Mango,Dresses,Spring,100.96,0.0,32,3.3,0,0.1687
FB000076,Gap,Outerwear,Spring,126.65,48.0,22,4.4,1,0.3158
FB000077,Mango,Dresses,Spring,153.32,0.0,43,2.9,0,0.1413
FB000078,Uniqlo,Accessories,Fall,33.29,22.5,7,1.9,1,0.0963
FB000079,H&M,Tops,Summer,30.79,0.0,36,3.4,0,0.1483
FB000080,Uniqlo,Accessories,Fall,59.85,0.0,38,4.0,0,0.0937
FB000081,Banana Republic,Tops,Spring,63.23,19.1,23,,0,0.1037
FB000082,Ann Taylor,Tops,Fall,91.55,19.1,15,4.9,0,0.1042
FB000083,Ann Taylor,Dresses,Winter,174.13,0.0,34,3.7,0,0.137
FB000084,Zara,Shoes,Summer,191.96,0.0,50,,0,0.1486
FB000085,Ann Taylor,Outerwear,Spring,172.25,22.6,50,,0,0.1665
FB000086,Forever21,Bottoms,Winter,33.35,11.9,45,3.4,1,0.2563
FB000087,Uniqlo,Outerwear,Summer,241.09,0.0,26,,0,0.2252
FB000088,Banana Republic,Dresses,Spring,136.97,0.0,17,4.4,1,0.1288
FB000089,H&M,Shoes,Spring,50.86,55.3,47,4.1,0,0.0864
FB000090,H&M,Bottoms,Summer,55.94,40.0,46,1.9,0,0.1048
FB000091,Uniqlo,Shoes,Spring,99.44,6.4,50,1.5,0,0.1135
FB000092,Zara,Accessories,Winter,30.95,0.0,27,3.1,1,0.1392
FB000093,Zara,Shoes,Summer,38.84,49.5,7,1.1,0,0.1342
FB000094,H&M,Bottoms,Fall,80.64,0.0,26,,0,0.1212
FB000095,Zara,Bottoms,Fall,15.45,52.4,14,3.9,0,0.1341
FB000096,Gap,Accessories,Summer,54.79,0.0,12,4.5,0,0.2003
FB000097,H&M,Bottoms,Winter,31.02,56.4,12,3.4,0,0.0918
FB000098,Ann Taylor,Bottoms,Summer,57.85,0.0,36,3.5,0,0.243
FB000099,Zara,Bottoms,Summer,32.37,3.0,40,1.3,0,0.198
FB000100,Gap,Tops,Summer,91.83,0.0,39,4.9,0,0.2077
FB000101,Zara,Bottoms,Fall,48.4,19.5,42,1.0,0,0.1141
FB000102,Banana Republic,Dresses,Winter,163.5,0.0,34,4.9,0,0.1404
FB000103,Uniqlo,Dresses,Spring,126.37,0.0,25,1.8,0,0.1001
FB000104,Uniqlo,Bottoms,Winter,20.9,58.2,32,4.8,0,0.1478
FB000105,H&M,Shoes,Winter,84.31,0.0,10,3.9,0,0.0733
FB000106,Banana Republic,Bottoms,Spring,100.98,0.0,21,2.8,0,0.1536
FB000107,Banana Republic,Bottoms,Summer,38.02,0.0,44,4.7,0,0.1917
FB000108,H&M,Bottoms,Fall,63.85,0.0,41,,0,0.0905
FB000109,H&M,Shoes,Fall,183.15,0.0,23,4.1,0,0.0859
FB000110,Zara,Dresses,Winter,36.86,59.5,5,3.9,0,0.0843
FB000111,Uniqlo,Outerwear,Spring,92.83,0.0,9,1.2,0,0.1118
FB000112,Banana Republic,Accessories,Winter,34.45,0.0,4,4.5,0,0.1273
FB000113,H&M,Dresses,Fall,64.08,50.0,28,3.2,0,0.0984
FB000114,Mango,Tops,Summer,65.95,33.8,27,2.1,0,0.106
FB000115,Forever21,Bottoms,Winter,65.11,25.5,8,2.3,0,0.138
FB000116,Zara,Tops,Spring,49.67,0.0,37,2.3,0,0.0857
FB000117,Uniqlo,Accessories,Fall,72.04,0.0,48,,1,0.078
FB000118,Zara,Dresses,Spring,133.82,0.0,12,1.7,0,0.0716
FB000119,Uniqlo,Bottoms,Winter,62.93,0.0,49,,0,0.1127
FB000120,Zara,Outerwear,Spring,248.58,0.0,27,1.5,0,0.1748
FB000121,Uniqlo,Shoes,Fall,61.08,0.0,27,,1,0.2036
FB000122,Gap,Bottoms,Winter,109.12,0.0,34,,0,0.1649
FB000123,Zara,Outerwear,Winter,44.85,45.9,24,,1,0.3115
FB000124,H&M,Shoes,Summer,101.16,10.9,40,2.8,0,0.175
FB000125,Uniqlo,Accessories,Winter,18.86,51.5,28,4.3,0,0.2015
FB000126,Gap,Dresses,Spring,28.68,45.9,37,3.7,0,0.1679
FB000127,Ann Taylor,Shoes,Spring,81.64,0.0,50,1.1,0,0.206
FB000128,Ann Taylor,Shoes,Spring,98.31,21.5,7,2.9,0,0.0837
FB000129,Ann Taylor,Outerwear,Spring,98.61,0.0,1,2.6,0,0.1003
FB000130,Gap,Shoes,Fall,77.54,0.0,36,3.4,0,0.1268
FB000131,Banana Republic,Dresses,Spring,79.13,0.0,11,3.6,0,0.0767
FB000132,Mango,Bottoms,Spring,96.11,0.0,13,4.2,0,0.1173
FB000133,Mango,Tops,Spring,116.61,0.0,31,,0,0.1233
FB000134,Ann Taylor,Accessories,Winter,42.19,27.0,9,1.8,0,0.1644
FB000135,H&M,Tops,Spring,110.78,0.0,9,1.4,0,0.0519
FB000136,Gap,Tops,Spring,112.63,0.0,50,3.6,1,0.3402
FB000137,H&M,Tops,Summer,89.36,0.0,24,4.3,1,0.2874
FB000138,Forever21,Outerwear,Fall,127.99,0.0,16,,0,0.0733
FB000139,Zara,Bottoms,Winter,22.61,58.8,50,3.5,0,0.1517
FB000140,Uniqlo,Shoes,Spring,154.13,0.0,31,4.1,1,0.2145
FB000141,Ann Taylor,Dresses,Spring,131.5,0.0,5,,0,0.1186
FB000142,Gap,Outerwear,Summer,133.26,0.0,29,1.3,0,0.162
FB000143,Forever21,Shoes,Winter,173.91,0.0,21,,0,0.1549
FB000144,H&M,Tops,Spring,102.99,0.0,41,3.9,0,0.1547
FB000145,Zara,Outerwear,Spring,48.02,45.3,34,1.8,0,0.1886
FB000146,Uniqlo,Tops,Winter,77.3,15.8,30,4.2,0,0.1642
FB000147,Zara,Tops,Winter,80.06,25.4,50,4.4,0,0.1509
FB000148,Banana Republic,Bottoms,Spring,28.9,57.3,50,4.6,0,0.1318
FB000149,Ann Taylor,Tops,Summer,36.78,46.0,3,2.5,0,0.1903
FB000150,Banana Republic,Shoes,Spring,94.29,0.0,18,1.7,0,0.0877
FB000151,Ann Taylor,Tops,Winter,94.97,0.0,46,4.3,0,0.222
FB000152,Banana Republic,Shoes,Winter,58.36,11.4,15,3.9,0,0.1188
FB000153,Zara,Dresses,Winter,109.47,29.4,5,3.6,0,0.1182
FB000154,Zara,Outerwear,Winter,172.59,0.0,1,2.1,0,0.1051
FB000155,H&M,Dresses,Summer,68.72,0.0,28,1.7,1,0.2661
FB000156,Banana Republic,Tops,Spring,28.78,0.0,21,,0,0.0907
FB000157,H&M,Outerwear,Winter,79.1,28.3,49,3.3,0,0.1233
FB000158,Mango,Shoes,Summer,194.24,0.0,17,1.2,1,0.2442
FB000159,Gap,Shoes,Fall,175.91,0.0,4,2.8,0,0.0643
FB000160,Mango,Bottoms,Winter,79.34,0.0,30,4.4,0,0.164
FB000161,H&M,Bottoms,Summer,111.88,0.0,41,4.5,0,0.1256
FB000162,Gap,Accessories,Spring,25.45,40.6,18,2.6,0,0.1785
FB000163,Gap,Bottoms,Spring,25.99,1.1,35,5.0,0,0.2167
FB000164,H&M,Accessories,Spring,23.11,0.0,2,1.4,0,0.1409
FB000165,Zara,Shoes,Winter,168.36,0.0,47,,1,0.2719
FB000166,Gap,Shoes,Fall,99.26,0.0,33,,1,0.2819
FB000167,Mango,Accessories,Spring,53.66,0.0,40,2.8,0,0.1493
FB000168,Ann Taylor,Accessories,Summer,57.16,18.0,34,4.2,1,0.3555
FB000169,Forever21,Dresses,Fall,47.4,21.4,4,3.6,0,0.1539
FB000170,Banana Republic,Shoes,Winter,113.58,0.0,33,4.9,1,0.3012
FB000171,Ann Taylor,Bottoms,Fall,53.93,1.7,40,2.5,0,0.1392
FB000172,Zara,Tops,Winter,92.25,0.0,13,2.8,1,0.2018
FB000173,Ann Taylor,Accessories,Winter,54.07,0.0,47,4.6,0,0.2147
FB000174,Banana Republic,Shoes,Winter,104.4,0.0,41,3.4,0,0.2122
FB000175,Ann Taylor,Dresses,Spring,45.97,0.0,37,3.2,1,0.3066
FB000176,Ann Taylor,Tops,Summer,28.79,0.0,4,4.4,0,0.1392
FB000177,Uniqlo,Outerwear,Winter,204.21,0.0,5,3.3,0,0.0892
FB000178,Mango,Shoes,Fall,152.6,20.0,47,,0,0.1009
FB000179,Forever21,Tops,Winter,20.07,39.2,16,3.7,0,0.1322
FB000180,Banana Republic,Accessories,Spring,28.66,39.8,18,1.3,0,0.1682
FB000181,H&M,Outerwear,Spring,137.16,0.0,34,3.2,0,0.1504
FB000182,Gap,Tops,Fall,108.49,0.0,7,3.3,0,0.0932
FB000183,Banana Republic,Tops,Winter,106.49,0.0,23,4.0,0,0.1319
FB000184,Mango,Tops,Winter,114.86,0.0,48,1.1,0,0.1562
FB000185,Zara,Dresses,Fall,121.68,0.0,9,1.5,0,0.0825
FB000186,Zara,Bottoms,Summer,71.19,3.9,37,1.7,0,0.1927
FB000187,Gap,Tops,Fall,59.21,35.9,20,,0,0.1063
FB000188,Uniqlo,Tops,Summer,34.06,0.0,39,4.5,0,0.1858
FB000189,Zara,Dresses,Summer,173.42,0.0,47,4.2,0,0.1627
FB000190,Uniqlo,Bottoms,Spring,66.51,0.0,32,2.1,0,0.1087
FB000191,Uniqlo,Bottoms,Fall,67.3,7.1,10,1.8,0,0.0958
FB000192,Ann Taylor,Tops,Fall,81.2,0.0,3,1.5,0,0.0861
FB000193,Gap,Outerwear,Summer,91.65,12.3,42,,0,0.2047
FB000194,Gap,Dresses,Winter,50.05,13.0,12,4.1,0,0.1436
FB000195,Banana Republic,Shoes,Summer,142.58,0.0,25,4.8,1,0.3165
FB000196,Zara,Dresses,Fall,114.53,29.4,41,4.0,1,0.2639
FB000197,Ann Taylor,Bottoms,Spring,15.5,51.7,27,,0,0.298
FB000198,Uniqlo,Shoes,Fall,93.06,42.7,22,4.8,0,0.1363
FB000199,Banana Republic,Tops,Fall,32.92,57.5,23,4.0,0,0.1228
FB000200,H&M,Tops,Fall,45.4,56.1,4,4.7,0,0.0655
FB000201,Zara,Bottoms,Spring,28.62,33.3,18,,0,0.143
FB000202,Zara,Shoes,Summer,120.28,17.0,32,2.0,0,0.1387
FB000203,Banana Republic,Shoes,Summer,70.83,23.9,10,3.5,1,0.3057
FB000204,H&M,Outerwear,Summer,119.96,0.0,20,1.1,0,0.1862
FB000205,Forever21,Accessories,Summer,20.64,50.9,43,2.3,1,0.2184
FB000206,Banana Republic,Accessories,Winter,54.45,0.0,12,2.7,0,0.1457
FB000207,Mango,Tops,Spring,42.58,36.4,44,1.9,1,0.2857
FB000208,Ann Taylor,Tops,Spring,106.67,8.8,33,1.6,0,0.1725
FB000209,Forever21,Tops,Fall,111.14,0.0,49,1.6,0,0.0928
FB000210,Banana Republic,Tops,Fall,59.6,0.0,40,2.1,0,0.0539
FB000211,Ann Taylor,Tops,Spring,21.23,16.7,32,,0,0.1927
FB000212,Zara,Tops,Spring,82.94,0.0,46,1.5,0,0.1227
FB000213,Uniqlo,Tops,Spring,99.71,0.0,23,1.4,0,0.1077
FB000214,Banana Republic,Accessories,Fall,69.74,0.0,11,3.3,1,0.1057
FB000215,H&M,Bottoms,Summer,57.19,0.0,12,2.5,0,0.1403
FB000216,H&M,Tops,Summer,58.65,0.0,4,1.1,0,0.1505
FB000217,Uniqlo,Outerwear,Fall,110.22,0.0,4,1.6,0,0.083
FB000218,Zara,Tops,Summer,69.36,0.0,25,,0,0.2283
FB000219,Zara,Bottoms,Winter,87.03,0.0,39,4.3,0,0.1167
FB000220,Zara,Dresses,Winter,131.05,18.4,41,3.0,0,0.126
FB000221,H&M,Outerwear,Spring,167.02,0.0,26,2.6,1,0.2439
FB000222,Zara,Tops,Summer,26.09,0.0,32,4.6,1,0.3145
FB000223,H&M,Outerwear,Summer,246.65,0.0,17,2.9,1,0.3325
FB000224,Forever21,Outerwear,Summer,206.91,0.0,34,2.3,0,0.1438
FB000225,Gap,Dresses,Winter,85.08,0.0,29,,0,0.1813
FB000226,Forever21,Outerwear,Spring,108.62,54.8,3,4.5,0,0.1837
FB000227,Uniqlo,Dresses,Fall,128.3,1.4,0,5.0,0,0.0562
FB000228,H&M,Bottoms,Spring,35.61,15.8,11,1.6,0,0.1438
FB000229,H&M,Outerwear,Spring,191.54,0.0,18,1.2,0,0.1154
FB000230,Ann Taylor,Accessories,Spring,42.23,0.0,15,,0,0.1485
FB000231,H&M,Shoes,Summer,109.76,0.0,16,4.3,0,0.1284
FB000232,Mango,Accessories,Summer,43.55,43.3,24,,0,0.2066
FB000233,Forever21,Dresses,Winter,43.72,22.4,37,2.5,1,0.1389
FB000234,Gap,Tops,Fall,88.41,0.0,24,4.4,0,0.1073
FB000235,Gap,Tops,Spring,25.96,0.0,2,1.4,0,0.0958
FB000236,Zara,Bottoms,Spring,60.25,0.0,25,4.1,0,0.1188
FB000237,H&M,Accessories,Fall,42.33,19.1,4,,0,0.1393
FB000238,Mango,Accessories,Fall,67.61,0.0,14,1.8,0,0.0794
FB000239,Forever21,Shoes,Spring,136.0,0.0,46,4.5,0,0.107
FB000240,Zara,Shoes,Fall,74.48,0.0,24,3.7,0,0.1027
FB000241,Forever21,Dresses,Fall,101.39,0.0,33,2.4,1,0.2194
FB000242,Forever21,Dresses,Fall,98.92,41.7,43,4.6,0,0.1555
FB000243,Forever21,Accessories,Winter,52.45,0.0,34,2.1,0,0.1162
FB000244,Uniqlo,Shoes,Summer,80.62,47.6,12,3.1,0,0.0876
FB000245,Mango,Bottoms,Fall,16.19,50.5,46,1.3,0,0.1667
FB000246,Uniqlo,Outerwear,Fall,47.34,54.6,42,4.2,0,0.1271
FB000247,Forever21,Dresses,Summer,39.3,50.9,45,,0,0.1189
FB000248,Banana Republic,Bottoms,Spring,72.07,0.0,20,,1,0.2824
FB000249,Zara,Outerwear,Fall,220.99,0.0,42,3.6,0,0.0604
FB000250,Uniqlo,Outerwear,Fall,100.23,14.6,33,,1,0.325
FB000251,Banana Republic,Outerwear,Spring,101.77,48.8,36,3.0,0,0.2266
FB000252,H&M,Outerwear,Fall,121.03,0.0,14,1.6,1,0.2609
FB000253,H&M,Tops,Fall,88.62,0.0,48,2.4,0,0.0742
FB000254,H&M,Shoes,Summer,88.94,0.0,29,3.9,0,0.1914
FB000255,Zara,Bottoms,Winter,95.11,17.8,32,1.7,0,0.1509
FB000256,Forever21,Bottoms,Fall,75.66,0.0,20,3.0,0,0.1194
FB000257,Ann Taylor,Accessories,Winter,42.11,0.0,26,4.0,0,0.2345
FB000258,H&M,Outerwear,Spring,237.24,4.3,25,4.6,0,0.122
FB000259,Banana Republic,Shoes,Spring,143.45,0.0,39,,1,0.2298
FB000260,Banana Republic,Accessories,Winter,13.8,44.7,44,,0,0.2184
FB000261,Forever21,Outerwear,Summer,109.74,0.0,45,1.9,0,0.1166
FB000262,H&M,Dresses,Summer,161.14,0.0,44,1.6,0,0.1132
FB000263,Banana Republic,Outerwear,Spring,199.89,9.2,23,4.8,0,0.1509
FB000264,Forever21,Dresses,Summer,57.33,0.0,23,2.0,0,0.2016
FB000265,Zara,Bottoms,Fall,108.24,0.0,8,2.3,0,0.0539
FB000266,Banana Republic,Accessories,Summer,67.93,0.0,22,4.6,0,0.2783
FB000267,Zara,Dresses,Winter,168.96,0.0,9,,0,0.0908
FB000268,Ann Taylor,Tops,Fall,90.63,0.0,33,4.2,0,0.1282
FB000269,Mango,Accessories,Spring,72.01,0.4,38,3.0,1,0.1753
FB000270,H&M,Bottoms,Winter,27.98,0.0,0,3.0,0,0.1934
FB000271,Forever21,Dresses,Summer,92.73,0.0,15,1.4,0,0.1491
FB000272,Mango,Bottoms,Summer,64.28,0.0,46,3.0,0,0.1221
FB000273,Ann Taylor,Dresses,Fall,133.12,0.0,35,1.9,0,0.1005
FB000274,Gap,Tops,Winter,70.36,0.0,0,,0,0.092
FB000275,Uniqlo,Outerwear,Summer,199.01,0.0,8,4.4,0,0.1481
FB000276,H&M,Bottoms,Summer,39.26,37.1,6,4.1,0,0.1393
FB000277,Uniqlo,Shoes,Summer,71.44,0.0,45,4.0,0,0.2295
FB000278,Zara,Dresses,Winter,89.69,0.0,50,4.3,0,0.1589
FB000279,Mango,Outerwear,Spring,145.16,10.2,42,,0,0.0843
FB000280,Uniqlo,Accessories,Winter,46.59,0.0,29,4.8,0,0.1406
FB000281,Zara,Accessories,Fall,74.2,0.0,22,1.7,0,0.1098
FB000282,Uniqlo,Bottoms,Fall,99.67,0.0,13,5.0,0,0.0647
FB000283,Forever21,Shoes,Fall,86.81,23.0,37,1.0,0,0.1462
FB000284,Banana Republic,Tops,Summer,58.07,39.4,6,,1,0.2494
FB000285,Ann Taylor,Shoes,Winter,157.42,0.0,38,2.4,0,0.1309
FB000286,Zara,Accessories,Fall,51.69,14.1,38,5.0,0,0.1648
FB000287,Mango,Outerwear,Winter,169.03,0.0,16,1.7,0,0.168
FB000288,Uniqlo,Dresses,Fall,175.86,0.0,0,4.6,0,0.0884
FB000289,Mango,Shoes,Summer,169.75,0.0,5,2.7,0,0.0969
FB000290,H&M,Accessories,Summer,39.19,24.3,50,3.7,0,0.3127
FB000291,Mango,Tops,Fall,83.09,0.0,22,2.3,0,0.0855
FB000292,Ann Taylor,Outerwear,Winter,176.1,0.0,12,4.6,0,0.1019
FB000293,Mango,Bottoms,Fall,69.11,0.0,18,3.9,0,0.1135
FB000294,Zara,Shoes,Spring,117.85,0.0,34,3.3,0,0.1389
FB000295,Banana Republic,Shoes,Fall,61.55,36.0,45,3.5,0,0.1491
FB000296,Zara,Shoes,Spring,80.14,0.0,10,5.0,0,0.0703
FB000297,Gap,Accessories,Summer,47.92,13.0,17,3.9,0,0.2542
FB000298,Mango,Dresses,Fall,82.26,50.4,17,3.2,1,0.1411
FB000299,Gap,Dresses,Summer,82.7,0.0,20,4.0,0,0.2212
FB000300,Banana Republic,Outerwear,Spring,208.15,6.6,29,2.1,0,0.1101
FB000301,Mango,Tops,Winter,107.15,0.0,33,,1,0.2422
FB000302,H&M,Shoes,Fall,85.54,0.0,30,,0,0.117
FB000303,Mango,Bottoms,Summer,32.5,5.4,49,4.5,0,0.1765
FB000304,Mango,Bottoms,Winter,64.3,42.2,34,3.0,0,0.1029
FB000305,Zara,Tops,Spring,25.9,35.2,15,2.3,0,0.1166
FB000306,Forever21,Shoes,Summer,60.34,0.0,4,,0,0.1276
FB000307,Gap,Accessories,Summer,17.7,0.0,42,3.9,0,0.2382
FB000308,Mango,Bottoms,Summer,57.88,0.0,39,3.0,0,0.1597
FB000309,Mango,Tops,Summer,25.15,0.0,34,2.6,0,0.1186
FB000310,Mango,Outerwear,Spring,157.45,0.0,7,2.9,0,0.108
FB000311,H&M,Bottoms,Winter,59.74,9.1,10,2.8,1,0.1331
FB000312,Forever21,Dresses,Winter,92.8,0.0,25,2.5,0,0.1362
FB000313,Banana Republic,Dresses,Winter,88.65,0.0,11,3.3,0,0.1292
FB000314,Zara,Tops,Winter,20.05,57.4,24,1.3,1,0.3058
FB000315,Ann Taylor,Outerwear,Summer,101.75,0.0,7,3.1,0,0.1457
FB000316,Mango,Dresses,Spring,121.25,7.5,20,4.5,1,0.2568
FB000317,Zara,Tops,Fall,60.64,26.1,32,1.5,0,0.1221
FB000318,H&M,Dresses,Summer,66.31,0.0,47,3.9,0,0.1909
FB000319,Uniqlo,Accessories,Fall,26.03,0.0,15,3.8,0,0.1597
FB000320,Uniqlo,Shoes,Spring,152.53,0.0,24,4.2,0,0.1017
FB000321,Mango,Bottoms,Fall,21.92,16.2,13,2.3,0,0.1712
FB000322,Uniqlo,Dresses,Winter,79.54,10.8,27,3.3,0,0.1531
FB000323,H&M,Bottoms,Spring,106.37,0.0,37,4.9,0,0.106
FB000324,Mango,Dresses,Fall,51.16,36.8,16,2.5,0,0.1179
FB000325,Banana Republic,Outerwear,Summer,84.58,50.2,21,3.0,1,0.3331
FB000326,Forever21,Dresses,Fall,145.37,8.8,43,4.5,0,0.0915
FB000327,Forever21,Bottoms,Winter,56.99,46.5,17,,0,0.1299
FB000328,Gap,Accessories,Spring,43.58,44.7,34,1.4,0,0.1726
FB000329,Uniqlo,Outerwear,Summer,82.8,29.5,43,1.2,0,0.1373
FB000330,Gap,Accessories,Spring,76.94,0.0,21,4.3,0,0.2235
FB000331,Gap,Outerwear,Summer,232.19,0.0,31,1.3,1,0.3375
FB000332,Forever21,Dresses,Fall,38.51,52.1,7,1.2,0,0.1375
FB000333,Mango,Bottoms,Summer,102.82,0.0,50,3.6,0,0.126
FB000334,Zara,Accessories,Spring,48.5,0.0,46,,0,0.1447
FB000335,Mango,Bottoms,Fall,88.4,0.0,1,1.4,0,0.1174
FB000336,Mango,Shoes,Winter,112.5,0.0,11,4.3,0,0.1361
FB000337,Zara,Bottoms,Fall,87.08,11.1,25,2.4,0,0.1015
FB000338,H&M,Outerwear,Summer,72.26,36.9,33,1.5,0,0.125
FB000339,Zara,Bottoms,Winter,27.85,0.0,0,1.5,0,0.1229
FB000340,Ann Taylor,Shoes,Spring,48.76,40.6,43,2.5,1,0.3453
FB000341,Mango,Bottoms,Summer,69.03,40.7,23,1.2,0,0.105
FB000342,Ann Taylor,Bottoms,Spring,95.61,0.0,47,4.7,1,0.2675
FB000343,Mango,Shoes,Fall,70.04,0.0,12,2.4,0,0.0805
FB000344,Banana Republic,Shoes,Winter,51.79,54.0,17,4.0,0,0.0882
FB000345,Zara,Accessories,Summer,26.56,0.9,25,1.2,1,0.2158
FB000346,H&M,Tops,Summer,50.09,0.0,47,4.0,0,0.219
FB000347,Mango,Bottoms,Spring,88.94,4.2,0,,1,0.1323
FB000348,Uniqlo,Tops,Summer,114.63,0.0,47,3.8,1,0.3083
FB000349,Gap,Accessories,Summer,15.51,29.2,35,2.0,0,0.2619
